AliquotBarcode	SampleBarcode	ClusterModel1	ClusterModel2	LIexpression_score	CSF1_response	TGFB_score_21050467	Module3_IFN_score	CHANG_CORE_SERUM_RESPONSE_UP
TCGA.02.0047.01A.01R.1849.01	TCGA-02-0047-01A	4	4	-1.3536971737894	0.899577668175596	0.0983886460478216	-0.437751890652621	-0.598961846306039
TCGA.02.0055.01A.01R.1849.01	TCGA-02-0055-01A	4	4	-0.50168482741403	1.46742805072581	1.41870735695815	0.0347334623565682	0.699081568415846
TCGA.02.2483.01A.01R.1849.01	TCGA-02-2483-01A	4	4	-0.919780869908713	0.488415492878219	-0.503936887505268	-0.685517255462807	1.08550856603265
TCGA.02.2485.01A.01R.1849.01	TCGA-02-2485-01A	4	4	-0.781049346985245	0.103945493754955	-0.657008479393718	1.49949318916499	0.44966050631773
TCGA.02.2486.01A.01R.1849.01	TCGA-02-2486-01A	4	4	-0.0361280007613197	1.82456423482463	-0.279309916672948	2.53785831618658	0.147544853635505
TCGA.04.1348.01A.01R.1565.13	TCGA-04-1348-01A	2	2	0.643991120939144	0.795760502190709	-0.637696658371935	0.901195516953116	1.80039851162372
TCGA.04.1357.01A.01R.1565.13	TCGA-04-1357-01A	2	2	1.58529667340671	1.38901978321436	-0.271585188264235	1.32582587738214	0.0562075632897163
TCGA.04.1362.01A.01R.1565.13	TCGA-04-1362-01A	4	4	-1.09395586305276	-0.245491024139788	-0.630785059269402	0.984445561649018	0.296846193623814
TCGA.04.1364.01A.01R.1565.13	TCGA-04-1364-01A	1	1	-1.5813416080602	-2.41487197713671	-1.33170252119686	-0.476785686443812	1.53868204505598
TCGA.04.1365.01A.01R.1565.13	TCGA-04-1365-01A	2	2	0.361203948664225	0.462878266634718	-0.445594859786828	2.22172867626188	1.77053824362606
TCGA.04.1514.01A.01R.1566.13	TCGA-04-1514-01A	2	2	-1.57259482892852	-1.9232482900068	-0.198403550708004	0.130553712476751	0.713133459238275
TCGA.04.1519.01A.01R.1565.13	TCGA-04-1519-01A	4	4	-1.55198285375732	-1.61808485278546	-0.918429551330698	0.472485353009189	0.200239444219614
TCGA.05.4244.01A.01R.1107.07	TCGA-05-4244-01A	4	4	0.229469849046108	0.929606366371472	-0.0432991355541033	0.11280105393895	0.129979990107469
TCGA.05.4249.01A.01R.1107.07	TCGA-05-4249-01A	3	3	0.785232589178661	1.09399423982838	0.344766825820466	0.553309568588124	-0.542754283016323
TCGA.05.4382.01A.01R.1206.07	TCGA-05-4382-01A	6	6	1.09038109245111	1.73409315692679	1.18838848098257	0.351304162120718	-0.124710531049058
TCGA.05.4384.01A.01R.1755.07	TCGA-05-4384-01A	3	3	0.199046269457629	0.90586572890892	-0.0300857843286727	-0.310395862011871	-1.04510937991816
TCGA.05.4389.01A.01R.1206.07	TCGA-05-4389-01A	2	2	1.29581631362232	1.29829204977639	-0.431365096928672	0.797546454682722	0.416287265614461
TCGA.05.4390.01A.02R.1755.07	TCGA-05-4390-01A	1	1	0.391247233507849	0.351104778905625	0.143923887193921	-1.23981920868969	0.444391047259319
TCGA.05.4395.01A.01R.1206.07	TCGA-05-4395-01A	2	2	0.300813143181093	0.507921313928532	0.203485608871631	0.520560875509074	0.883512635460228
TCGA.05.4396.01A.21R.1858.07	TCGA-05-4396-01A	3	3	-0.0270009268847757	-0.188256838689529	-0.150835486296454	-0.365418076983069	-1.03105748909573
TCGA.05.4398.01A.01R.1206.07	TCGA-05-4398-01A	2	2	1.05706727280173	1.4371426969898	0.663310231516616	0.862602781001374	0.549780228427537
TCGA.05.4402.01A.01R.1206.07	TCGA-05-4402-01A	2	2	0.823262063664261	1.02059075534957	0.780400851606585	1.6324727307587	-0.0122954044696254
TCGA.05.4403.01A.01R.1206.07	TCGA-05-4403-01A	6	6	0.87901327326015	1.30573506044033	0.544593352814285	0.814747788421213	-0.316167543504654
TCGA.05.4405.01A.21R.1858.07	TCGA-05-4405-01A	3	3	0.695483029392646	0.933712855013643	0.853379206836271	0.516591336954038	-0.692055623004631
TCGA.05.4410.01A.21R.1858.07	TCGA-05-4410-01A	3	3	1.4342436007499	1.25684218004448	0.0113838102865248	0.879583584820141	-0.660438868654166
TCGA.05.4415.01A.22R.1858.07	TCGA-05-4415-01A	2	2	0.209618463364625	-0.0442730806734066	-0.640136046290476	0.71738382886296	1.48071799541346
TCGA.05.4417.01A.22R.1858.07	TCGA-05-4417-01A	3	3	1.47090401415402	1.30791663253148	0.982260201865855	0.303890229380006	-0.544510769369126
TCGA.05.4418.01A.01R.1206.07	TCGA-05-4418-01A	2	2	1.46451506244044	1.10041062833177	0.149209227684093	1.58594091769689	0.881756149107424
TCGA.05.4420.01A.01R.1206.07	TCGA-05-4420-01A	1	1	0.186876837622237	-0.0325952535972327	0.149005945357548	-0.858302447566751	1.09253451144386
TCGA.05.4422.01A.01R.1206.07	TCGA-05-4422-01A	2	2	1.56430440349066	1.26505515732882	-0.913754057820161	-0.322083947757256	-0.107145667521022
TCGA.05.4424.01A.22R.1858.07	TCGA-05-4424-01A	2	2	0.755493540130922	1.34667161909197	0.555773880774265	0.772406043834159	-0.00702594541121453
TCGA.05.4425.01A.01R.1755.07	TCGA-05-4425-01A	6	6	0.800292261074959	1.49399189912986	0.425876474111955	0.739988145634695	-0.137005935518683
TCGA.05.4426.01A.01R.1206.07	TCGA-05-4426-01A	6	6	0.242780165116068	0.739937922211196	0.37729199806768	0.541290687963153	-0.270498898331759
TCGA.05.4430.01A.02R.1206.07	TCGA-05-4430-01A	2	2	1.02626339846839	1.27942786757642	1.29185918519402	1.08125819640796	0.356566729619138
TCGA.05.4432.01A.01R.1206.07	TCGA-05-4432-01A	2	1	1.24272716724042	0.940385899057171	0.351068577943363	-0.141249413583377	0.309141598093439
TCGA.05.4433.01A.22R.1858.07	TCGA-05-4433-01A	3	3	0.865246603496363	1.45356865155848	-0.0815162129445795	0.910568038541397	-0.762315077116777
TCGA.05.5423.01A.01R.1628.07	TCGA-05-5423-01A	2	2	1.21237964660092	1.55238103451073	-0.782636957198581	0.91751473101271	0.138762421871487
TCGA.05.5425.01A.02R.1628.07	TCGA-05-5425-01A	2	2	1.47432666685773	1.58497628810796	-0.0471614997584599	0.892815380003595	0.563832119249966
TCGA.05.5428.01A.01R.1628.07	TCGA-05-5428-01A	2	2	0.102679581111119	0.728260095135022	-0.783856651157852	0.236738868823974	1.41045854130132
TCGA.05.5429.01A.01R.1628.07	TCGA-05-5429-01A	1	1	0.291990305100434	-0.241384535497617	0.310208830307801	0.383942590239906	0.737724268177526
TCGA.05.5715.01A.01R.1628.07	TCGA-05-5715-01A	6	6	0.315644638230477	1.09399423982838	0.426689603418135	0.500713182733892	-0.266985925626152
TCGA.06.0125.01A.01R.1849.01	TCGA-06-0125-01A	4	4	-1.84115897774582	-0.130509342158999	0.0569190514326241	-1.05666911035871	0.133492962813076
TCGA.06.0129.01A.01R.1849.01	TCGA-06-0129-01A	4	4	-1.11251424660173	1.06229728062162	-1.91024402254417	1.55341275453756	-0.470738342551374
TCGA.06.0130.01A.01R.1849.01	TCGA-06-0130-01A	4	4	0.37801297638686	2.15449493166906	1.03552017142067	1.32373084314476	0.542754283016323
TCGA.06.0132.01A.02R.1849.01	TCGA-06-0132-01A	4	4	-0.270617740439527	1.76271024965192	-0.429535555989767	-0.0629612920812712	-0.562075632897163
TCGA.06.0138.01A.02R.1849.01	TCGA-06-0138-01A	4	4	-0.739673278744913	1.24773090836966	-0.34293728488156	0.0479652575400227	0.556806173838752
TCGA.06.0141.01A.01R.1849.01	TCGA-06-0141-01A	4	4	-0.153943312717707	1.82674580691578	0.224423688505775	-0.0358361119551894	0.0474251315256981
TCGA.06.0156.01A.02R.1849.01	TCGA-06-0156-01A	4	4	-0.327357716372042	1.08680788470458	0.122172678253597	-0.32594322135243	0.407504833850443
TCGA.06.0156.01A.03R.1849.01	TCGA-06-0156-01A	4	4	-0.398624951558055	1.08988775118621	-0.0774505664136778	-0.370049205297279	0.953772089572373
TCGA.06.0157.01A.01R.1849.01	TCGA-06-0157-01A	4	4	-0.533021114390165	0.769838292637004	-0.2957757851231	0.0423417445870545	0.13524944916588
TCGA.06.0158.01A.01R.1849.01	TCGA-06-0158-01A	4	4	-1.13335439861984	0.873783786391959	-0.169740742665147	1.03031578495166	-0.483033747020999
TCGA.06.0168.01A.01R.1849.01	TCGA-06-0168-01A	4	4	-0.638134581868362	1.14250213691403	-0.175026083155319	0.602377475726768	-0.0649899950537344
TCGA.06.0174.01A.01R.1849.01	TCGA-06-0174-01A	4	4	-1.56323957820506	0.0150143490979379	-0.219341630342148	-0.738334171236763	0.750019672647151
TCGA.06.0178.01A.01R.1849.01	TCGA-06-0178-01A	4	4	-0.569225174100455	0.747252605105064	-1.83218360915086	-0.585176141988277	1.11712532038311
TCGA.06.0184.01A.01R.1849.01	TCGA-06-0184-01A	4	4	-0.963134470822296	1.57175852779097	-0.411849993580344	0.0681437451947909	-0.0456686451728945
TCGA.06.0187.01A.01R.1849.01	TCGA-06-0187-01A	4	4	-1.32578353951697	0.73493313917855	-0.066270038453698	0.886640542251316	-0.124710531049058
TCGA.06.0190.01A.01R.1849.01	TCGA-06-0190-01A	4	4	-0.517352970902098	1.34410506369061	1.06845190832097	-0.326384281191879	0.142275394577094
TCGA.06.0210.01A.01R.1849.01	TCGA-06-0210-01A	4	4	-0.919248457265915	1.24015956993566	0.222390865240324	-0.992053843879504	-0.126467017401862
TCGA.06.0211.01A.01R.1849.01	TCGA-06-0211-01A	4	4	-0.875514561607475	0.944364059929274	0.506579557750354	-0.9824607923715	0.319680516210261
TCGA.06.0211.01B.01R.1849.01	TCGA-06-0211-01B	4	4	-1.44435944096307	0.203912826637806	-0.3557440714539	-0.891602465445112	0.618283196186879
TCGA.06.0219.01A.01R.1849.01	TCGA-06-0219-01A	4	4	-0.680727593292234	0.802946857314508	-1.24042875657811	0.966582638151354	1.36127692342282
TCGA.06.0238.01A.02R.1849.01	TCGA-06-0238-01A	4	4	-0.366680192990152	1.15302501405959	-0.870861486919148	0.905165055508153	0.969580466747605
TCGA.06.0644.01A.02R.1849.01	TCGA-06-0644-01A	4	4	-0.320664528862576	1.19331993386089	1.42480582675451	-0.4148167790013	0.862434799226584
TCGA.06.0645.01A.01R.1849.01	TCGA-06-0645-01A	4	4	-0.627334211114452	1.77823790983013	0.429942120642857	0.0783983864619681	-0.0281037816448581
TCGA.06.0646.01A.01R.1849.01	TCGA-06-0646-01A	4	4	-1.09540098308321	1.07885156296038	-0.0487877583708206	0.145880541897586	0.0439121588200908
TCGA.06.0649.01B.01R.1849.01	TCGA-06-0649-01B	4	4	-0.171436870981083	1.42982801409593	-0.220358041974873	-0.40908300108847	-0.110658640226629
TCGA.06.0686.01A.01R.1849.01	TCGA-06-0686-01A	4	4	-1.48383403547913	0.30670337046215	-0.190678822299291	-0.774060018232091	0.553293201133145
TCGA.06.0743.01A.01R.1849.01	TCGA-06-0743-01A	4	4	-0.569225174100455	0.44311579004427	-0.456165540767173	-0.246001125452392	-0.0983632357570035
TCGA.06.0744.01A.01R.1849.01	TCGA-06-0744-01A	4	4	-0.950432626344106	0.103303854904616	-0.61553888477852	-0.347003828686095	0.632335087009308
TCGA.06.0745.01A.01R.1849.01	TCGA-06-0745-01A	4	4	-0.884641635484019	0.770223275947208	-0.285408386469301	-0.833603096557636	0.851895881109762
TCGA.06.0747.01A.01R.1849.01	TCGA-06-0747-01A	4	4	-1.7149771814026	-0.185176972207901	-0.398839924681459	0.444698583123935	-0.0772853995233599
TCGA.06.0749.01A.01R.1849.01	TCGA-06-0749-01A	4	4	-0.785004412331748	1.19678478365273	-1.43314040214286	0.139264644305859	-0.412774292908854
TCGA.06.0750.01A.01R.1849.01	TCGA-06-0750-01A	4	4	-0.735413977602526	0.855176259732121	0.169334178012057	0.108941780343776	0.138762421871487
TCGA.06.0878.01A.01R.1849.01	TCGA-06-0878-01A	4	4	-1.230633794354	1.02521055507202	0.313867912185613	-0.252286228164533	-0.0245908089392509
