SetNames	Counts1	Counts2	Dist
T.cells.gamma.delta	1793	1764	2515.26241175747
NK CD56bright cells	1651	1700	2369.76813211757
T.cells.CD4.memory.resting	1587	1577	2237.29702990014
NK.cells.activated	1598	1531	2213.04428333461
Dendritic.cells.activated	1552	1519	2171.65029413117
NK.cells.resting	1535	1530	2167.28516813086
Bcell_21978456	1530	1522	2158.09731013224
Th17 cells	1462	1519	2108.27061830307
CD103pos_CD103neg_ratio_25446897	1425	1470	2047.32142078375
Macrophages.M0	1424	1420	2011.01367474217
B.cells.memory	1452	1375	1999.73223207508
Plasma.cells	1406	1413	1993.34016163825
Mast.cells.activated	1368	1430	1978.97043939519
Mast.cells.resting	1370	1305	1892.0689733728
CD8_CD68_ratio	1322	1306	1858.31106115203
Dendritic.cells.resting	1210	1203	1706.25584248084
Monocytes	1105	1158	1600.62144181565
T.cells.CD8	1122	1133	1594.54476262035
B.cells.naive	1065	1136	1557.15156616175
T.cells.CD4.naive	1113	1088	1556.44241782342
Buck14_score	1165	1028	1553.7081450517
T.cells.CD4.memory.activated	1076	1068	1516.04749265978
T.cells.follicular.helper	1055	1061	1496.24396406468
Macrophages.M2	990	1022	1422.87877206739
TAMsurr_TcClassII_ratio	988	999	1405.04270397736
C7_Atom_30	977	1003	1400.19212967364
LYMPHS_PCA_16704732	944	978	1359.27186390361
T.cells.regulatory..Tregs.	926	947	1324.4942430981
Tgd cells	918	862	1259.27280602735
C7_Atom_31	841	827	1179.49565493053
Mast cells	809	809	1144.09877195983
C7_Atom_32	818	774	1126.14386292338
IL8_21978456	766	825	1125.78017392384
T helper cells	735	738	1041.57044888956
C7_Atom_7	713	755	1038.4575099637
Tfh cells	709	680	982.385362268799
Eosinophils	672	692	964.597325312485
CSR_Activated_15701700	686	678	964.510238411185
C7_Atom_25	696	648	950.95741229563
Rotterdam_ERneg_PCA_15721472	667	640	924.385741993028
Th2 cells	640	660	919.347594764896
IFIT3	648	624	899.599911071583
CHANG_CORE_SERUM_RESPONSE_UP	638	602	877.181851157444
C7_Atom_6	609	628	874.794261526675
C7_Atom_22	623	586	855.29234768002
C7_Atom_1	574	629	851.538020290345
IL13_score_21050467	578	604	836.002392341075
Module11_Prolif_score	577	603	834.588521368465
TREM1_data	559	593	814.941715707326
MCD3_CD8_21214954	556	575	799.850611051839
Interferon_19272155	556	554	784.889801182306
C7_Atom_11	560	521	764.879729107786
Lymph vessels	514	548	751.332150250473
IFN_21978456	538	521	748.922559414523
