SetNames	Counts1	Counts2	Dist
CD8_CD68_ratio	795	751	1093.62973624532
Bcell_21978456	771	767	1087.53390751737
CD103pos_CD103neg_ratio_25446897	759	762	1075.5115062146
LYMPHS_PCA_16704732	674	655	939.840943989992
Buck14_score	634	645	904.423020494282
TAMsurr_TcClassII_ratio	613	647	891.278856475346
Angiogenesis	614	630	879.713589755211
CSR_Activated_15701700	601	559	820.781335070432
MCD3_CD8_21214954	580	564	809.009270651455
CHANG_CORE_SERUM_RESPONSE_UP	524	516	735.412809243897
IL8_21978456	517	479	704.790749087983
Module11_Prolif_score	459	516	690.60625540173
IL13_score_21050467	463	456	649.849982688312
Antigen presenting machinery	419	431	601.100657128238
Rotterdam_ERneg_PCA_15721472	403	434	592.254168410827
IFIT3	420	401	580.690106683419
TREM1_data	401	388	557.982974650661
PDL1_data	391	348	523.435764922497
TGFB_score_21050467	347	322	473.384621634459
TGFB_PCA_17349583	332	331	468.81232918941
MHC.I_19272155	266	315	412.287521033562
MHC1_21978456	288	276	398.898483326272
Interferon_19272155	277	275	390.325505187657
Troester_WoundSig_19887484	280	266	386.207198275744
IFN_21978456	232	227	324.581268714016
Immune_NSCLC_score	211	224	307.728776684924
G_GIMAP4	187	228	294.877940850108
DAP12_data	214	186	283.534830311904
IgG_19272155	146	174	227.138724131311
CD68	143	165	218.343765654071
Module3_IFN_score	145	146	205.769288281804
GRANS_PCA_16704732	142	140	199.409127173257
Interferon_Cluster_21214954	145	122	189.496701818264
G_SIGLEC9	109	119	161.37533888423
CD103neg_mean_25446897	95	114	148.394743842226
CD103pos_mean_25446897	103	106	147.800541270998
PD1_data	74	94	119.632771429905
G_HLA.DPA1	66	82	105.261578935526
IR7_score	71	73	101.833196944808
MHC2_21978456	66	66	93.3380951166243
IL4_score_21050467	70	61	92.8493403315285
G_LILRB4	63	66	91.2414379544733
GP11_Immune_IFN	70	58	90.9065454189081
CD8A	76	45	88.3232698670062
NHI_5gene_score	58	66	87.8635305459552
LYM	57	46	73.24616030892
MDACC.FNA.1_20805453	50	53	72.8628849277875
Bcell_mg_IGJ	44	51	67.3572564761956
PD1_PDL1_score	36	45	57.6281181368956
Bcell_receptors_score	37	43	56.7274184147313
CSF1_response	38	41	55.9016994374947
MHC.II_19272155	40	36	53.8144961882948
CTLA4_data	34	33	47.3814309619285
CD8_PCA_16704732	24	32	40
Minterferon_Cluster_21214954	32	24	40
ICS5_score	27	20	33.6005952328229
IGG_Cluster_21214954	18	24	30
TcClassII_score	10	24	26
LIexpression_score	21	11	23.7065391822594
G_SLAMF6	22	8	23.4093998214393
ICR_INHIB_SCORE	14	16	21.2602916254693
IFNG_score_21050467	14	16	21.2602916254693
G_CD3E	11	18	21.095023109729
Tcell_receptors_score	17	12	20.8086520466848
ICR_ACT_SCORE	17	11	20.2484567313166
LCK_19272155	9	16	18.3575597506858
STAT1_19272155	11	14	17.8044938147649
ICR_SCORE	10	10	14.142135623731
TAMsurr_score	7	12	13.8924439894498
Chemokine12_score	9	10	13.4536240470737
B_cell_PCA_16704732	8	9	12.0415945787923
GP2_ImmuneTcellBcell_score	7	9	11.4017542509914
HER2_Immune_PCA_18006808	9	6	10.816653826392
Module4_TcellBcell_score	8	7	10.6301458127346
T_cell_PCA_16704732	5	9	10.295630140987
Immune_cell_Cluster_21214954	6	8	10
Tcell_21978456	9	4	9.8488578017961
IL2_score_21050467	6	7	9.21954445729289
STAT1_score	4	8	8.94427190999916
G_CYTH4	6	4	7.21110255092798
IL12_score_21050467	5	4	6.40312423743285
Module5_TcellBcell_score	4	3	5
