Dat2SB	ParticipantBarcode	Study	SampleTypeLetterCode	K2	K3	K4	K5	K6	K7	K8	K9	K10	K11	K12
TCGA-OR-A5J1-01A	TCGA-OR-A5J1	ACC	TP	1	1	1	1	1	1	1	1	1	1	1
TCGA-OR-A5J2-01A	TCGA-OR-A5J2	ACC	TP	1	1	1	1	2	2	2	2	2	1	1
TCGA-OR-A5J3-01A	TCGA-OR-A5J3	ACC	TP	1	1	1	1	2	2	2	2	2	1	1
TCGA-OR-A5J5-01A	TCGA-OR-A5J5	ACC	TP	2	2	2	2	3	3	3	3	3	1	1
TCGA-OR-A5J6-01A	TCGA-OR-A5J6	ACC	TP	1	1	1	3	4	4	4	4	4	2	2
TCGA-OR-A5J7-01A	TCGA-OR-A5J7	ACC	TP	1	1	1	1	2	2	2	2	2	1	1
TCGA-OR-A5J8-01A	TCGA-OR-A5J8	ACC	TP	1	1	1	1	2	4	4	4	4	2	2
TCGA-OR-A5J9-01A	TCGA-OR-A5J9	ACC	TP	2	2	2	2	3	3	3	3	3	1	1
TCGA-OR-A5JA-01A	TCGA-OR-A5JA	ACC	TP	1	1	1	1	2	2	5	1	1	1	1
TCGA-OR-A5JB-01A	TCGA-OR-A5JB	ACC	TP	1	3	3	4	5	5	6	5	5	3	3
TCGA-OR-A5JC-01A	TCGA-OR-A5JC	ACC	TP	1	1	1	1	2	2	5	1	1	1	1
TCGA-OR-A5JD-01A	TCGA-OR-A5JD	ACC	TP	1	1	1	1	2	2	2	2	2	1	1
TCGA-OR-A5JE-01A	TCGA-OR-A5JE	ACC	TP	1	1	1	1	2	2	5	1	1	1	1
TCGA-OR-A5JF-01A	TCGA-OR-A5JF	ACC	TP	2	1	1	1	2	2	2	2	2	1	1
TCGA-OR-A5JG-01A	TCGA-OR-A5JG	ACC	TP	1	1	1	1	2	2	2	2	2	1	1
TCGA-OR-A5JI-01A	TCGA-OR-A5JI	ACC	TP	1	1	1	1	2	2	2	2	2	1	1
TCGA-OR-A5JJ-01A	TCGA-OR-A5JJ	ACC	TP	2	1	1	1	2	2	5	1	1	1	1
TCGA-OR-A5JK-01A	TCGA-OR-A5JK	ACC	TP	1	1	1	3	4	4	4	4	4	2	2
TCGA-OR-A5JL-01A	TCGA-OR-A5JL	ACC	TP	1	1	1	3	4	2	2	2	2	1	1
TCGA-OR-A5JM-01A	TCGA-OR-A5JM	ACC	TP	1	1	1	1	2	2	5	1	1	1	1
TCGA-OR-A5JO-01A	TCGA-OR-A5JO	ACC	TP	1	1	1	3	4	4	4	4	4	2	2
TCGA-OR-A5JP-01A	TCGA-OR-A5JP	ACC	TP	1	1	1	1	2	2	2	2	2	1	1
TCGA-OR-A5JQ-01A	TCGA-OR-A5JQ	ACC	TP	1	1	1	1	2	2	2	2	2	4	4
TCGA-OR-A5JR-01A	TCGA-OR-A5JR	ACC	TP	1	1	1	3	4	4	4	4	4	2	2
TCGA-OR-A5JS-01A	TCGA-OR-A5JS	ACC	TP	1	1	1	1	2	2	1	2	2	1	1
TCGA-OR-A5JT-01A	TCGA-OR-A5JT	ACC	TP	1	1	1	1	2	2	2	2	2	1	1
TCGA-OR-A5JV-01A	TCGA-OR-A5JV	ACC	TP	1	1	1	1	2	4	4	4	4	2	2
TCGA-OR-A5JW-01A	TCGA-OR-A5JW	ACC	TP	2	1	1	1	2	2	2	2	2	1	1
TCGA-OR-A5JX-01A	TCGA-OR-A5JX	ACC	TP	2	1	1	1	1	1	1	1	1	1	1
TCGA-OR-A5JY-01A	TCGA-OR-A5JY	ACC	TP	1	1	1	1	2	2	2	2	2	1	1
TCGA-OR-A5JZ-01A	TCGA-OR-A5JZ	ACC	TP	1	1	1	1	2	4	4	4	4	2	2
TCGA-OR-A5K0-01A	TCGA-OR-A5K0	ACC	TP	1	1	1	3	1	1	5	1	1	5	5
TCGA-OR-A5K1-01A	TCGA-OR-A5K1	ACC	TP	1	1	1	3	4	4	4	4	4	2	2
TCGA-OR-A5K2-01A	TCGA-OR-A5K2	ACC	TP	1	1	1	1	2	2	2	2	2	1	1
TCGA-OR-A5K3-01A	TCGA-OR-A5K3	ACC	TP	1	1	1	3	4	4	4	4	4	1	1
TCGA-OR-A5K4-01A	TCGA-OR-A5K4	ACC	TP	1	1	1	1	2	2	2	2	2	1	1
TCGA-OR-A5K5-01A	TCGA-OR-A5K5	ACC	TP	1	1	1	1	2	2	5	1	1	1	1
TCGA-OR-A5K6-01A	TCGA-OR-A5K6	ACC	TP	1	1	1	1	2	2	2	2	2	1	1
TCGA-OR-A5K8-01A	TCGA-OR-A5K8	ACC	TP	1	1	1	1	2	2	2	2	2	1	1
TCGA-OR-A5K9-01A	TCGA-OR-A5K9	ACC	TP	1	1	1	1	2	2	2	2	2	1	1
TCGA-OR-A5KO-01A	TCGA-OR-A5KO	ACC	TP	2	1	1	1	2	2	2	2	2	1	1
TCGA-OR-A5KT-01A	TCGA-OR-A5KT	ACC	TP	1	1	1	1	2	4	4	4	4	2	2
TCGA-OR-A5KU-01A	TCGA-OR-A5KU	ACC	TP	2	1	1	1	2	2	5	1	1	1	1
TCGA-OR-A5KV-01A	TCGA-OR-A5KV	ACC	TP	2	2	2	2	3	3	3	3	3	1	1
TCGA-OR-A5KW-01A	TCGA-OR-A5KW	ACC	TP	2	1	1	1	2	2	2	2	2	1	1
TCGA-OR-A5KX-01A	TCGA-OR-A5KX	ACC	TP	1	1	1	3	4	4	4	1	1	1	1
TCGA-OR-A5KY-01A	TCGA-OR-A5KY	ACC	TP	2	1	1	1	2	2	2	2	2	1	1
TCGA-OR-A5KZ-01A	TCGA-OR-A5KZ	ACC	TP	1	1	1	1	2	2	5	1	1	1	1
TCGA-OR-A5L3-01A	TCGA-OR-A5L3	ACC	TP	1	1	1	3	1	1	1	6	6	1	1
TCGA-OR-A5L4-01A	TCGA-OR-A5L4	ACC	TP	1	1	1	1	2	4	4	4	4	1	1
TCGA-OR-A5L5-01A	TCGA-OR-A5L5	ACC	TP	1	1	1	3	4	2	2	2	2	4	4
TCGA-OR-A5L6-01A	TCGA-OR-A5L6	ACC	TP	1	1	1	3	4	4	4	4	4	1	1
TCGA-OR-A5L8-01A	TCGA-OR-A5L8	ACC	TP	2	1	1	1	2	2	2	2	2	1	1
TCGA-OR-A5L9-01A	TCGA-OR-A5L9	ACC	TP	1	1	1	3	4	4	4	4	4	1	1
TCGA-OR-A5LA-01A	TCGA-OR-A5LA	ACC	TP	1	1	1	3	4	4	4	4	4	2	2
TCGA-OR-A5LB-01A	TCGA-OR-A5LB	ACC	TP	2	1	1	1	2	2	2	2	2	1	1
TCGA-OR-A5LC-01A	TCGA-OR-A5LC	ACC	TP	1	1	1	1	2	2	2	2	2	1	1
TCGA-OR-A5LD-01A	TCGA-OR-A5LD	ACC	TP	2	1	1	1	1	1	5	1	1	1	1
TCGA-OR-A5LE-01A	TCGA-OR-A5LE	ACC	TP	2	2	2	2	3	3	5	1	1	1	1
TCGA-OR-A5LG-01A	TCGA-OR-A5LG	ACC	TP	1	1	1	1	1	1	1	1	1	5	5
TCGA-OR-A5LH-01A	TCGA-OR-A5LH	ACC	TP	1	1	1	3	4	4	4	6	6	1	1
TCGA-OR-A5LJ-01A	TCGA-OR-A5LJ	ACC	TP	1	1	1	1	2	2	5	1	1	1	1
TCGA-OR-A5LK-01A	TCGA-OR-A5LK	ACC	TP	1	1	1	1	2	4	4	4	4	2	2
TCGA-OR-A5LL-01A	TCGA-OR-A5LL	ACC	TP	1	1	1	1	2	2	2	2	2	1	1
TCGA-OR-A5LM-01A	TCGA-OR-A5LM	ACC	TP	1	1	1	1	2	2	2	2	2	1	1
TCGA-OR-A5LN-01A	TCGA-OR-A5LN	ACC	TP	1	1	1	3	4	4	4	4	4	2	2
TCGA-OR-A5LO-01A	TCGA-OR-A5LO	ACC	TP	2	2	2	2	3	3	3	3	3	1	1
TCGA-OR-A5LP-01A	TCGA-OR-A5LP	ACC	TP	1	1	1	1	2	2	2	2	2	4	4
TCGA-OR-A5LR-01A	TCGA-OR-A5LR	ACC	TP	1	1	1	1	2	2	2	2	2	1	1
TCGA-OR-A5LS-01A	TCGA-OR-A5LS	ACC	TP	2	1	1	1	2	2	2	2	2	1	1
TCGA-OR-A5LT-01A	TCGA-OR-A5LT	ACC	TP	2	1	1	1	2	2	2	2	2	1	1
TCGA-OU-A5PI-01A	TCGA-OU-A5PI	ACC	TP	2	1	1	1	2	2	2	2	2	1	1
TCGA-P6-A5OF-01A	TCGA-P6-A5OF	ACC	TP	2	1	1	1	2	2	2	2	2	1	1
TCGA-P6-A5OG-01A	TCGA-P6-A5OG	ACC	TP	1	3	3	4	5	4	4	4	4	2	2
TCGA-PA-A5YG-01A	TCGA-PA-A5YG	ACC	TP	1	1	1	3	4	4	4	4	4	2	2
TCGA-PK-A5H8-01A	TCGA-PK-A5H8	ACC	TP	1	1	1	3	4	4	4	4	4	2	2
TCGA-PK-A5H9-01A	TCGA-PK-A5H9	ACC	TP	1	1	1	3	4	4	4	4	4	2	2
TCGA-PK-A5HA-01A	TCGA-PK-A5HA	ACC	TP	1	1	1	1	2	4	4	4	4	2	2
TCGA-PK-A5HB-01A	TCGA-PK-A5HB	ACC	TP	1	1	1	1	2	2	2	2	2	1	1
TCGA-2F-A9KO-01A	TCGA-2F-A9KO	BLCA	TP	1	3	3	4	5	5	6	5	5	3	3
TCGA-2F-A9KP-01A	TCGA-2F-A9KP	BLCA	TP	1	3	1	1	2	2	2	2	5	3	3
TCGA-2F-A9KQ-01A	TCGA-2F-A9KQ	BLCA	TP	1	3	1	1	2	2	2	2	5	3	3
TCGA-2F-A9KR-01A	TCGA-2F-A9KR	BLCA	TP	1	3	3	4	5	5	6	5	5	3	3
